,Dato,Temperatur (°C) daglig snitt,Lufttrykk (hPa),Nedbør (mm)
0,2024-07-01,10.39375,1003.0,8.0
1,2024-07-02,10.177777777777766,1002.9,3.6
2,2024-07-03,11.973611111111108,1000.5,2.0
3,2024-07-04,15.785416666666672,993.2,0.1
4,2024-07-05,12.11388888888888,991.8,7.7
5,2024-07-06,12.230555555555553,995.7,3.2
6,2024-07-07,11.736805555555556,995.1,11.3
7,2024-07-08,12.96805555555556,1011.0,3.7
8,2024-07-09,12.814583333333337,1020.7,7.1
9,2024-07-10,14.111111111111114,1017.1,3.6
10,2024-07-11,15.718749999999996,1011.8,2.7
11,2024-07-12,15.414583333333336,1016.6,0.1
12,2024-07-13,17.768055555555566,1015.8,0.0
13,2024-07-14,17.74375,1010.7,3.1
14,2024-07-15,19.69166666666668,1006.6,0.0
15,2024-07-16,19.24513888888889,1010.5,1.0
16,2024-07-17,17.201388888888875,1012.0,1.1
17,2024-07-18,12.891666666666673,1018.0,17.4
18,2024-07-19,15.295138888888886,1019.5,0.0
19,2024-07-20,18.37222222222222,1013.7,0.0
20,2024-07-21,23.49444444444445,1006.9,0.0
21,2024-07-22,15.349999999999998,1010.1,18.3
22,2024-07-23,12.922916666666667,1014.9,23.6
23,2024-07-24,14.052083333333332,1017.4,0.0
24,2024-07-25,15.07986111111111,1008.8,0.0
25,2024-07-26,17.233333333333334,1003.3,1.6
26,2024-07-27,15.041666666666666,1010.4,0.5
27,2024-07-28,13.895833333333334,1017.8,0.1
28,2024-07-29,13.996527777777782,1020.9,1.8
29,2024-07-30,15.613194444444442,1012.8,0.0
30,2024-07-31,13.030555555555546,1013.5,18.4
31,2024-08-01,13.43611111111111,1014.9,0.0
32,2024-08-02,13.41319444444444,1013.5,0.0
33,2024-08-03,17.032638888888886,1006.8,0.0
34,2024-08-04,18.27222222222222,1007.2,1.0
35,2024-08-05,18.872222222222224,1010.2,0.1
36,2024-08-06,21.79236111111109,1008.7,0.0
37,2024-08-07,21.296527777777776,1005.4,0.0
38,2024-08-08,17.290972222222216,1003.7,1.2
39,2024-08-09,14.880555555555556,998.0,1.0
40,2024-08-10,14.462499999999997,996.9,22.6
41,2024-08-11,11.452777777777776,1008.7,18.2
42,2024-08-12,12.177083333333334,1016.6,0.4
43,2024-08-13,17.470833333333324,1010.8,0.0
44,2024-08-14,18.334722222222226,1009.6,0.0
45,2024-08-15,15.55902777777778,1002.5,1.5
46,2024-08-16,13.903472222222224,1003.2,5.0
47,2024-08-17,12.74305555555556,1002.3,2.2
48,2024-08-18,10.778472222222222,1002.2,9.0
49,2024-08-19,12.345138888888895,1007.7,3.7
50,2024-08-20,16.500694444444438,1002.8,0.5
51,2024-08-21,12.83958333333333,1001.9,15.1
52,2024-08-22,13.6,993.3,0.4
53,2024-08-23,12.775000000000002,990.7,4.0
54,2024-08-24,13.80763888888888,998.0,13.6
55,2024-08-25,13.801388888888887,997.2,0.5
56,2024-08-26,12.19375,1003.7,2.3
57,2024-08-27,13.23819444444444,1013.8,0.1
58,2024-08-28,17.259722222222226,1014.9,0.8
59,2024-08-29,17.976388888888884,1011.0,0.6
60,2024-08-30,12.582638888888887,1014.1,3.8
61,2024-08-31,10.621527777777782,1027.4,4.1
62,2024-09-01,11.07430555555555,1028.3,0.0
63,2024-09-02,13.77986111111111,1018.9,0.0
64,2024-09-03,16.12013888888889,1012.9,0.5
65,2024-09-04,17.563888888888894,1020.6,3.9
66,2024-09-05,16.929166666666667,1027.8,0.0
67,2024-09-06,18.523611111111105,1024.1,0.0
68,2024-09-07,17.87777777777777,1019.4,0.0
69,2024-09-08,18.929166666666664,1009.9,0.0
70,2024-09-09,17.268055555555538,997.1,18.8
71,2024-09-10,9.598611111111117,991.5,36.1
72,2024-09-11,13.18611111111112,986.3,0.0
73,2024-09-12,10.979166666666664,998.7,2.2
74,2024-09-13,8.120138888888889,1017.8,1.6
75,2024-09-14,7.765972222222225,1023.3,0.0
76,2024-09-15,12.504861111111106,1018.1,0.0
77,2024-09-16,11.875694444444434,1024.6,0.8
78,2024-09-17,12.67638888888888,1029.7,0.0
79,2024-09-18,12.540972222222225,1033.8,0.0
80,2024-09-19,13.464583333333346,1032.1,0.0
81,2024-09-20,10.689583333333331,1032.3,0.0
82,2024-09-21,8.557638888888889,1031.1,0.0
83,2024-09-22,6.563194444444441,1020.6,0.0
84,2024-09-23,7.566666666666661,1008.8,2.0
85,2024-09-24,6.76388888888889,1003.2,3.7
86,2024-09-25,6.356944444444444,992.4,15.3
87,2024-09-26,6.902777777777775,994.9,11.3
88,2024-09-27,5.843055555555555,994.0,8.3
89,2024-09-28,3.322916666666666,1001.3,6.4
90,2024-09-29,2.944444444444445,1017.2,8.7
91,2024-09-30,5.8930555555555575,1020.8,0.0
92,2024-10-01,8.463888888888889,1023.5,0.8
93,2024-10-02,6.903472222222225,1021.9,1.8
94,2024-10-03,8.336111111111107,1021.8,0.8
95,2024-10-04,7.318749999999998,1019.5,4.2
96,2024-10-05,6.0937499999999964,1013.4,8.3
97,2024-10-06,5.709722222222222,1009.4,12.3
98,2024-10-07,5.927083333333332,1007.5,2.2
99,2024-10-08,9.079861111111104,1001.4,0.2
100,2024-10-09,8.424999999999997,991.3,4.9
101,2024-10-10,3.401388888888889,993.5,5.2
102,2024-10-11,3.168055555555556,997.9,2.6
103,2024-10-12,4.0555555555555545,1004.8,0.1
104,2024-10-13,8.179861111111116,1004.9,0.0
105,2024-10-14,2.9305555555555545,1015.2,3.7
106,2024-10-15,2.4152777777777774,1018.4,0.3
107,2024-10-16,5.181944444444443,1016.9,0.0
108,2024-10-17,12.813194444444449,1007.9,0.0
109,2024-10-18,10.37638888888889,1011.0,0.0
110,2024-10-19,13.428472222222224,1011.1,0.0
111,2024-10-20,12.37152777777778,1005.9,5.9
112,2024-10-21,12.45069444444444,993.5,0.2
113,2024-10-22,8.665972222222225,1003.8,2.5
114,2024-10-23,7.835416666666671,1010.9,11.2
115,2024-10-24,10.581944444444446,1014.9,13.2
116,2024-10-25,5.667361111111112,1014.5,0.1
117,2024-10-26,7.004861111111111,1011.0,0.0
118,2024-10-27,7.356250000000001,1001.2,1.7
119,2024-10-28,2.539583333333335,1012.0,3.1
120,2024-10-29,3.4208333333333343,1009.1,2.4
121,2024-10-30,4.33888888888889,1009.6,21.3
122,2024-10-31,1.6500000000000008,1002.1,13.7
123,2024-11-01,1.5388888888888888,1001.9,17.3
124,2024-11-02,1.3284722222222225,1021.1,6.8
125,2024-11-03,5.381944444444446,1015.5,12.5
126,2024-11-04,7.0493055555555575,1024.5,2.4
127,2024-11-05,8.075000000000003,1023.7,0.0
128,2024-11-06,5.0812500000000025,1025.8,0.0
129,2024-11-07,6.686111111111114,1029.9,0.0
130,2024-11-08,4.201388888888887,1030.1,0.0
131,2024-11-09,5.908333333333332,1030.6,0.0
132,2024-11-10,0.3124999999999996,1025.5,0.0
133,2024-11-11,2.875694444444444,1024.9,0.0
134,2024-11-12,6.29722222222222,1029.5,2.8
135,2024-11-13,7.125000000000004,1017.6,3.2
136,2024-11-14,5.537500000000002,1014.6,7.8
137,2024-11-15,10.498611111111115,999.2,0.7
138,2024-11-16,2.374305555555555,979.3,6.3
139,2024-11-17,2.890277777777777,984.1,7.8
140,2024-11-18,1.095138888888889,991.8,23.0
141,2024-11-19,-0.3138888888888889,996.6,2.3
142,2024-11-20,-5.0347222222222205,998.9,0.0
143,2024-11-21,-7.633333333333336,996.9,0.0
144,2024-11-22,-4.245138888888887,988.7,2.4
145,2024-11-23,-0.5493055555555555,998.8,2.2
146,2024-11-24,0.3375000000000006,991.8,4.3
147,2024-11-25,5.527083333333329,981.8,0.2
148,2024-11-26,2.9201388888888893,998.1,0.8
149,2024-11-27,-1.6986111111111108,1017.0,0.0
150,2024-11-28,-4.002083333333333,1022.6,0.0
151,2024-11-29,1.2909722222222215,1017.7,1.6
152,2024-11-30,2.8125,1008.3,13.0
153,2024-12-01,9.991666666666667,999.2,0.4
154,2024-12-02,1.587499999999999,1005.3,3.5
155,2024-12-03,-4.129166666666666,1020.4,3.6
156,2024-12-04,-3.5340277777777773,1021.7,0.0
157,2024-12-05,1.3270833333333336,1007.0,0.0
158,2024-12-06,3.726388888888888,1001.9,0.3
159,2024-12-07,2.079861111111113,1008.6,0.0
160,2024-12-08,2.6611111111111114,1029.3,0.1
161,2024-12-09,-1.1055555555555558,1039.1,0.0
162,2024-12-10,1.7187500000000004,1031.8,4.6
163,2024-12-11,1.8284722222222225,1032.4,1.6
164,2024-12-12,0.5465277777777775,1030.1,0.7
165,2024-12-13,3.834027777777776,1014.1,3.5
166,2024-12-14,1.2562500000000003,998.4,6.9
167,2024-12-15,1.525,989.7,15.7
168,2024-12-16,1.885416666666667,988.4,10.2
169,2024-12-17,1.840972222222222,1004.6,10.7
170,2024-12-18,3.2861111111111114,984.9,1.2
171,2024-12-19,3.191666666666667,974.4,2.9
172,2024-12-20,-0.3812499999999997,994.6,11.8
173,2024-12-21,-3.049999999999999,986.8,0.0
174,2024-12-22,-1.4638888888888892,978.7,0.0
175,2024-12-23,0.1624999999999999,1004.0,2.2
176,2024-12-24,1.7493055555555557,1005.5,0.8
177,2024-12-25,5.977083333333333,1010.0,17.8
178,2024-12-26,4.813194444444441,1020.9,6.6
179,2024-12-27,2.272916666666668,1025.8,0.0
180,2024-12-28,2.151388888888889,1013.3,0.3
181,2024-12-29,1.051388888888889,996.0,3.6
182,2024-12-30,-2.159722222222222,1003.4,19.7
