Dato,Nedbør (mm)
2024-07-01,8.0
2024-07-02,3.6
2024-07-03,2.0
2024-07-04,0.1
2024-07-05,7.7
2024-07-06,3.2
2024-07-07,11.3
2024-07-08,3.7
2024-07-09,7.1
2024-07-10,3.6
2024-07-11,2.7
2024-07-12,0.1
2024-07-13,0.0
2024-07-14,3.1
2024-07-15,0.0
2024-07-16,1.0
2024-07-17,1.1
2024-07-18,17.4
2024-07-19,0.0
2024-07-20,0.0
2024-07-21,0.0
2024-07-22,18.3
2024-07-23,23.6
2024-07-24,0.0
2024-07-25,0.0
2024-07-26,1.6
2024-07-27,0.5
2024-07-28,0.1
2024-07-29,1.8
2024-07-30,0.0
2024-07-31,18.4
2024-08-01,0.0
2024-08-02,0.0
2024-08-03,0.0
2024-08-04,1.0
2024-08-05,0.1
2024-08-06,0.0
2024-08-07,0.0
2024-08-08,1.2
2024-08-09,1.0
2024-08-10,22.6
2024-08-11,18.2
2024-08-12,0.4
2024-08-13,0.0
2024-08-14,0.0
2024-08-15,1.5
2024-08-16,5.0
2024-08-17,2.2
2024-08-18,9.0
2024-08-19,3.7
2024-08-20,0.5
2024-08-21,15.1
2024-08-22,0.4
2024-08-23,4.0
2024-08-24,13.6
2024-08-25,0.5
2024-08-26,2.3
2024-08-27,0.1
2024-08-28,0.8
2024-08-29,0.6
2024-08-30,3.8
2024-08-31,4.1
2024-09-01,0.0
2024-09-02,0.0
2024-09-03,0.5
2024-09-04,3.9
2024-09-05,0.0
2024-09-06,0.0
2024-09-07,0.0
2024-09-08,0.0
2024-09-09,18.8
2024-09-10,36.1
2024-09-11,0.0
2024-09-12,2.2
2024-09-13,1.6
2024-09-14,0.0
2024-09-15,0.0
2024-09-16,0.8
2024-09-17,0.0
2024-09-18,0.0
2024-09-19,0.0
2024-09-20,0.0
2024-09-21,0.0
2024-09-22,0.0
2024-09-23,2.0
2024-09-24,3.7
2024-09-25,15.3
2024-09-26,11.3
2024-09-27,8.3
2024-09-28,6.4
2024-09-29,8.7
2024-09-30,0.0
2024-10-01,0.8
2024-10-02,1.8
2024-10-03,0.8
2024-10-04,4.2
2024-10-05,8.3
2024-10-06,12.3
2024-10-07,2.2
2024-10-08,0.2
2024-10-09,4.9
2024-10-10,5.2
2024-10-11,2.6
2024-10-12,0.1
2024-10-13,0.0
2024-10-14,3.7
2024-10-15,0.3
2024-10-16,0.0
2024-10-17,0.0
2024-10-18,0.0
2024-10-19,0.0
2024-10-20,5.9
2024-10-21,0.2
2024-10-22,2.5
2024-10-23,11.2
2024-10-24,13.2
2024-10-25,0.1
2024-10-26,0.0
2024-10-27,1.7
2024-10-28,3.1
2024-10-29,2.4
2024-10-30,21.3
2024-10-31,13.7
2024-11-01,17.3
2024-11-02,6.8
2024-11-03,12.5
2024-11-04,2.4
2024-11-05,0.0
2024-11-06,0.0
2024-11-07,0.0
2024-11-08,0.0
2024-11-09,0.0
2024-11-10,0.0
2024-11-11,0.0
2024-11-12,2.8
2024-11-13,3.2
2024-11-14,7.8
2024-11-15,0.7
2024-11-16,6.3
2024-11-17,7.8
2024-11-18,23.0
2024-11-19,2.3
2024-11-20,0.0
2024-11-21,0.0
2024-11-22,2.4
2024-11-23,2.2
2024-11-24,4.3
2024-11-25,0.2
2024-11-26,0.8
2024-11-27,0.0
2024-11-28,0.0
2024-11-29,1.6
2024-11-30,13.0
2024-12-01,0.4
2024-12-02,3.5
2024-12-03,3.6
2024-12-04,0.0
2024-12-05,0.0
2024-12-06,0.3
2024-12-07,0.0
2024-12-08,0.1
2024-12-09,0.0
2024-12-10,4.6
2024-12-11,1.6
2024-12-12,0.7
2024-12-13,3.5
2024-12-14,6.9
2024-12-15,15.7
2024-12-16,10.2
2024-12-17,10.7
2024-12-18,1.2
2024-12-19,2.9
2024-12-20,11.8
2024-12-21,0.0
2024-12-22,0.0
2024-12-23,2.2
2024-12-24,0.8
2024-12-25,17.8
2024-12-26,6.6
2024-12-27,0.0
2024-12-28,0.3
2024-12-29,3.6
2024-12-30,19.7
